,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,nyurba,63.2842,118.3319,25.65,81,93,11.56,RU,1651418227
1,upernavik,72.7868,-56.1549,12.47,62,86,4.43,GL,1651418228
2,chipinge,-20.1883,32.6236,60.76,81,41,5.59,ZW,1651418228
3,airai,-8.9266,125.4092,59.43,87,75,3.24,TL,1651418229
4,dikson,73.5069,80.5464,8.73,97,35,9.86,RU,1651417736
5,georgetown,5.4112,100.3354,84.13,84,20,2.3,MY,1651417647
6,hobart,-42.8794,147.3294,58.77,77,100,5.75,AU,1651417644
7,mana,5.6592,-53.7767,83.64,68,32,12.95,GF,1651418230
8,svetlyy,54.675,20.1347,51.85,69,100,8.88,RU,1651418230
9,port elizabeth,-33.918,25.5701,67.32,76,8,8.99,ZA,1651417639
10,beira,-19.8436,34.8389,73.83,78,25,6.91,MZ,1651418231
11,chokurdakh,70.6333,147.9167,20.3,91,59,8.1,RU,1651417682
12,cidreira,-30.1811,-50.2056,64.09,88,100,6.8,BR,1651417702
13,tuktoyaktuk,69.4541,-133.0374,25.52,94,100,10.69,CA,1651417639
14,hermanus,-34.4187,19.2345,69.8,74,0,11.21,ZA,1651417643
15,ushuaia,-54.8,-68.3,47.86,66,75,5.75,AR,1651417952
16,caramay,10.1815,119.236,80.02,84,100,1.66,PH,1651418232
17,bambanglipuro,-7.95,110.2833,78.22,89,98,4.03,ID,1651418232
18,clyde river,70.4692,-68.5914,14.23,79,100,17.27,CA,1651417806
19,new norfolk,-42.7826,147.0587,56.46,77,100,3.0,AU,1651417683
20,saint-philippe,-21.3585,55.7679,78.75,83,49,5.5,RE,1651417683
21,pisco,-13.7,-76.2167,66.25,77,0,6.91,PE,1651418233
22,vaini,-21.2,-175.2,78.96,94,75,4.61,TO,1651418234
23,thompson,55.7435,-97.8558,22.77,92,100,11.68,CA,1651417647
24,jamestown,42.097,-79.2353,49.23,79,100,10.0,US,1651417456
25,mataura,-46.1927,168.8643,52.48,99,29,2.37,NZ,1651417652
26,ribeira grande,38.5167,-28.7,64.8,82,20,4.61,PT,1651417750
27,okara,30.8081,73.4458,98.92,11,0,7.36,PK,1651418235
28,pevek,69.7008,170.3133,-3.3,95,45,6.6,RU,1651417673
29,khatanga,71.9667,102.5,16.7,95,99,9.6,RU,1651417661
30,tongren,27.7172,109.1853,58.44,85,98,1.72,CN,1651418235
31,katsuura,35.1333,140.3,54.77,89,100,19.98,JP,1651418236
32,arraial do cabo,-22.9661,-42.0278,84.06,61,0,11.5,BR,1651417657
33,barrow,71.2906,-156.7887,21.22,86,100,13.8,US,1651418237
34,atuona,-9.8,-139.0333,78.94,72,31,12.19,PF,1651417559
35,kataysk,56.289,62.5841,49.87,48,94,12.39,RU,1651418237
36,morro bay,35.3658,-120.8499,53.24,78,7,6.42,US,1651418238
37,diamantino,-14.4086,-56.4461,89.35,36,7,5.41,BR,1651418238
38,luderitz,-26.6481,15.1594,72.77,39,0,10.83,NA,1651418239
39,vao,-22.6667,167.4833,75.24,83,11,20.94,NC,1651418240
40,cape town,-33.9258,18.4232,65.98,67,0,15.99,ZA,1651417599
41,mount gambier,-37.8333,140.7667,57.11,100,100,10.36,AU,1651417686
42,toamasina,-18.1667,49.3833,80.6,78,40,6.91,MG,1651418241
43,east london,-33.0153,27.9116,68.31,62,6,13.65,ZA,1651417694
44,rocha,-34.4833,-54.3333,62.06,55,4,11.77,UY,1651417647
45,san cristobal,7.7669,-72.225,80.78,60,99,6.55,VE,1651417728
46,dire dawa,9.5931,41.8661,76.06,56,100,8.23,ET,1651418242
47,rikitea,-23.1203,-134.9692,76.26,73,35,7.4,PF,1651418243
48,avarua,-21.2078,-159.775,73.45,100,100,1.14,CK,1651417678
49,mar del plata,-38.0023,-57.5575,54.88,72,75,14.0,AR,1651417559
50,saint george,37.1041,-113.5841,63.84,23,0,1.99,US,1651417497
51,mahebourg,-20.4081,57.7,77.29,88,40,3.44,MU,1651418243
52,palana,59.1167,159.9667,25.14,92,11,2.62,RU,1651418244
53,samandag,36.0842,35.9771,72.12,89,92,11.92,TR,1651418244
54,beloha,-25.1667,45.05,70.12,77,15,8.01,MG,1651418245
55,punta arenas,-53.15,-70.9167,44.71,87,0,12.66,CL,1651418245
56,port alfred,-33.5906,26.891,66.18,77,5,3.0,ZA,1651418246
57,bubaque,11.2833,-15.8333,78.49,69,8,9.57,GW,1651417861
58,touros,-5.1989,-35.4608,86.25,64,74,17.76,BR,1651418246
59,hopatcong,40.9329,-74.6593,61.57,36,90,3.0,US,1651418247
